Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
வினா எண்,வினா,தேர்வு A,தேர்வு B,தேர்வு C,தேர்வு D,சரியான பதில்
1,ஆபிரகாம்முதல் தாவீதுவரைக்கும் எத்தனை தலைமுறை?,பன்னிரண்டு,பதினான்கு,இருபத்து இரண்டு,ஏழு,பதினான்கு
2,ரெகொபெயாமின் தந்தை பெயர்?,தாவீது,சாலொமோன்,யோசேப்பு,யோசப்பாத்,சாலொமோன்
3,ஏரோது யாரை இரகசியமாய் அழைத்தான்?,பிரசங்கி,சாஸ்திரிகள்,சீடர்கள்,காவலர்,சாஸ்திரிகள்
4,எதற்கு ஏற்ற கனிகளை கொடுக்க வேண்டும்?,விசுவாசத்துக்கேற்ற,மனந்திரும்புதலுக்கேற்ற,ஆசீர்வாதத்துக்கேற்ற,அன்புக்கேற்ற,மனந்திரும்புதலுக்கேற்ற
5,தேவதூதர்கள் வந்து யாருக்கு பணிவிடை செய்தார்கள்?,யோவான்,யோசேப்பு,இயேசு,மத்தேயு,இயேசு
6,பேதுருவின் சகோதரன் பெயர்?,யாக்கோபு,அந்திரேயா,யோவான்,பிலிப்பு,அந்திரேயா
7,இரக்கமுள்ளவர்கள் எதைப் பெறுவார்கள்?,ஆசீர்வாதம்,இரக்கம்,சுவிசேஷம்,விடுதலை,இரக்கம்
8,உங்களைப் பகைக்கிறவர்களுக்கு என்ன செய்ய வேண்டும்?,நன்மை,தண்டனை,புறக்கணிப்பு,ஏமாற்றம்,நன்மை
9,அந்தரங்கத்திலிருக்கிற யாரை நோக்கி ஜெபம் பண்ணவேண்டும்?,இயேசுவை,பிதாவை,ஆவியை,ராஜாவை,பிதாவை
10,பூமியிலே உங்களுக்கு எதைச் சேர்த்துவைக்க வேண்டாம்?,அன்பை,பொக்கிஷங்களை,கடனை,அவமானத்தை,பொக்கிஷங்களை
11,சரீரத்தின் விளக்காய் இருகிறது எது?,இதயம்,காதுகள்,கண்,நாக்கு,கண்
12,“நீர் என் வீட்டுக்குள் பிரவேசிக்க நான் பாத்திரன் அல்ல” என்று கூறியது யார்?,யோவான்,நூற்றுக்குத் தளபதி,யோசேப்பு,மத்தேயு,நூற்றுக்குத் தளபதி
13,எந்த நாட்டில் பிசாசு பிடித்திருந்த இரண்டு பேர் அவருக்கு எதிராக வந்தார்கள்?,கெர்கெசேனர்,சிரியர்,கலிலேயர்,யோபியர்,கெர்கெசேனர்
14,ஆயத்துறையில் உட்கார்ந்திருந்த மனிதன் பெயர்?,மத்தேயு,லேவி,தோமா,யூதா,மத்தேயு
15,இயேசுவோடும் சீஷரோடும் பந்தியிருந்தவர்கள் யார்?,ஆமக்காரரும் பாவிகளும்,தீர்க்கதரிசிகள்,பரிசேயர்,ராகவர்கள்,ஆமக்காரரும் பாவிகளும்
16,“திடன் கொள், உன் விசுவாசம் உன்னை இரட்சித்தது” என்று யாரிடம் சொன்னார்?,நூற்றுக்குத் தளபதி,பெரும்பாடுள்ள ஸ்திரீ,குருடர்,சேவகர்,பெரும்பாடுள்ள ஸ்திரீ
17,“தாவீதின் குமாரனே எங்களுக்கு இரங்கும்” என்று உப்பிட்டார்கள் யார்?,இரண்டு குருடர்கள்,மூன்று மீனவர்கள்,இரண்டு சாமியார்,இரண்டு சீடர்,இரண்டு குருடர்கள்
18,இயேசு ஜெப ஆலயங்களில் உபதேசித்து எதைக் குறித்து பிரசங்கித்தார்?,நீதியை,இராஜ்யத்தின் சுவிசேஷத்தை,அன்பை,விதியை,இராஜ்யத்தின் சுவிசேஷத்தை
19,காணாமல் போன ஆடுகள் யார்?,எகிப்தார்,யூதர்,இஸ்ரவேல் வீட்டார்,கிரேக்கர்,இஸ்ரவேல் வீட்டார்
20,எதைவிடவும் நீங்கள் விசுவாசித்தவர்களாயிருக்கிறீர்கள் என்று இயேசு சொன்னார்?,அடைக்கலான் குருவிகளைவிட,யோசேப்பு,யோவான்,சீடர்களை,அடைக்கலான் குருவிகளைவிட
21,ஒரு மனுஷனுக்குச் சத்துருக்கள் யார்?,அவனைச் சோதிக்கும்ோர்,அவனுடைய வீட்டார்,அவனைப் பாகுபடுத்துவோர்,அரசர்கள்,அவனுடைய வீட்டார்
22,பரலோகராஜ்யம் என்ன பண்ணப்படுகிறது?,அன்புருக்கப்படுகிறது,பலவந்திக்கப்படுகிறது,விசுவாசிக்கப்படுகிறது,மாற்றப்படுகிறது,பலவந்திக்கப்படுகிறது
23,நல்ல விதையை விதைக்கிறவர் யார்?,விவசாயி,மனுஷகுமாரன்,தீர்க்கதரிசி,அப்போஸ்தலன்,மனுஷகுமாரன்
24,இயேசு கடலின் மேல் நடந்து வந்த நேரம்?,மூன்றாம் ஜாமம்,நாலாம் ஜாமம்,ஐந்தாம் ஜாமம்,மாலை,நாலாம் ஜாமம்
25,ஸ்திரீகளும் பிள்ளைகளும் தவிர சாப்பிட்ட புருஷர் எத்தனை பேர்?,ஐயாயிரம்,ஏழாயிரம்,நாலாயிரம்,மூனாயிரம்,நாலாயிரம்
